"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"GALVER"	-0.00169638217934052	1e-15	-0.00176328901236901	1e-15	1e-15	-0.0121388167919421	1e-15	1e-15	1e-15	-0.00998421529645764	1e-15	0.000810038475252593	-0.00850318425707533	1e-15	1e-15	-0.00248582387095403	1e-15	1e-15	1e-15	1e-15	1e-15	0.00292514981654001
"LEUVUL"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00453456492919652	1e-15	0.0162753131399581	0.00737362344546894	1e-15	1e-15	-0.000106030896661539	1e-15	1e-15	1.33156599913704e-05	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"ONOREP"	1e-15	1e-15	-0.00897144753775623	-0.0012644086978564	1e-15	-6.01854344343939e-05	1e-15	1e-15	-0.0053609147695068	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.053732210904194	1e-15	0.022586461158654	1e-15	1e-15
"PICECH"	-0.03734314560508	1e-15	0.00355378945237216	1e-15	0.0411743750035961	-0.0120845372612083	1e-15	0.0102183234483604	1e-15	1e-15	1e-15	0.00203951659152208	1e-15	1e-15	-0.0259257031340625	-0.00700988551995428	0.000759968929228086	1e-15	-0.032579220273733	-0.000143263705977094	-0.015474367356987	1e-15
"PLALAN"	1e-15	0.0016916267798962	1e-15	-0.00458228694000575	0.00166687744195409	0.00356752401170181	-0.00643451359534104	-0.000168434763244626	0.000776860965333425	1e-15	0.00771158189091992	1e-15	1e-15	1e-15	1e-15	0.00918150620150169	1e-15	1e-15	1e-15	1e-15	1e-15	0.00356592951082886
"POAANG"	1e-15	0.00206954787933419	-0.000365819294223085	1e-15	-0.00201839339158589	0.00599253761553661	0.00340802186479568	-0.00266082788585094	0.00262442117334868	-0.00114527535314192	-0.000755275694822767	1e-15	-0.000134351765447526	0.00239537002218136	0.00124369959532079	0.000999686487026652	0.00375126550654455	-0.0138631814851119	1e-15	-2.278952851511e-05	1e-15	1e-15
"RANACR"	1e-15	-0.00373195917848825	1e-15	-0.012112611405439	0.0104570151267643	0.00273347151570835	0.0023649033286587	-0.00415243259632426	0.00747732794408979	-0.0104497766554424	-0.00770557461150055	1e-15	-0.00327116935833211	1e-15	0.00533051807199055	0.000925003536775274	-0.000582912900480455	0.0107535680456776	1e-15	1e-15	-0.0020356896423585	0.00440008393284496
"RUMACE"	1e-15	1e-15	1e-15	0.0270444956338546	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.000545547925958382	1e-15	1e-15	1e-15
"SALPRA"	0.0268327250576165	-0.00378534433187838	0.00157884283949147	1e-15	1e-15	0.0120223428412198	0.00895028697601335	1e-15	-0.0168722488323354	-0.0106576481415412	1e-15	0.00237057734184595	0.0107920319048197	-0.00528574330774274	1e-15	1e-15	1e-15	-0.00684324355462886	0.0329992501481193	0.00270678455337083	0.0149752407451346	0.00847090152825988
"TAROFF"	1e-15	1e-15	-0.00317781112163137	-0.0179139356668005	0.0136996376791608	-1.10381784964149e-06	1e-15	1e-15	-0.0247808828221155	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0167301950745083	1e-15	1e-15	0.0138891251416494	0.0565473183624751	-0.00477290089315266	1e-15	1e-15
"TRIPRA"	-0.0206734027403259	-0.00144522413664248	0.000221935105382472	0.00263256208213257	-0.0564986064185368	-0.0316326515604644	1e-15	0.00312792656951612	1e-15	-0.0397366020212493	-0.00312130842273449	1e-15	-0.0121609079645672	0.0650348069343836	1e-15	-0.00677712487272892	0.00179945750952451	-0.00453112059769613	1e-15	0.00622414314975202	0.0121720537940681	0.0062694535333945
